STRAIN,FILEBASE
CCFEE_5313,CCFEE_5313_R[12].fastq.gz
CCFEE_5316,CCFEE_5316_R[12].fastq.gz
CCFEE_5319,CCFEE_5319_R[12].fastq.gz
CCFEE_5320,CCFEE_5320_R[12].fastq.gz
CCFEE_5474,CCFEE_5474_R[12].fastq.gz
CCFEE_5506,CCFEE_5506_R[12].fastq.gz
CCFEE_5537,CCFEE_5537_R[12].fastq.gz
CCFEE_5543,CCFEE_5543_R[12].fastq.gz
CCFEE_5544,CCFEE_5544_R[12].fastq.gz
CCFEE_5547,CCFEE_5547_R[12].fastq.gz
CCFEE_5805,CCFEE_5805_R[12].fastq.gz
CCFEE_5806,CCFEE_5806_R[12].fastq.gz
CCFEE_5810,CCFEE_5810_R[12].fastq.gz
CCFEE_5966,CCFEE_5966_R[12].fastq.gz
CCFEE_6086,CCFEE_6086_R[12].fastq.gz
CCFEE_6128,CCFEE_6128_R[12].fastq.gz
